Date,Open,High,Low,Close,Adj Close,Volume
2022-01-24,123.599998,125.949997,121.129997,125.320000,121.267441,4011800
2022-01-25,123.730003,124.949997,121.730003,123.949997,119.941750,3164500
2022-01-26,125.339996,125.750000,120.970001,122.150002,118.199951,3084000
2022-01-27,123.419998,125.209999,121.529999,122.400002,118.441864,3255200
2022-01-28,122.459999,124.540001,120.580002,124.349998,120.328812,3736100
2022-01-31,124.559998,126.889999,124.419998,126.660004,122.564102,3022900
2022-02-01,127.040001,127.330002,125.290001,127.040001,122.931824,2355200
2022-02-02,126.790001,129.199997,126.610001,129.029999,124.857468,2584600
2022-02-03,127.269997,128.580002,125.660004,127.889999,123.754333,2919700
2022-02-04,127.440002,130.759995,126.980003,129.759995,125.563850,4300100
2022-02-07,129.789993,130.000000,127.300003,127.680000,123.551109,1795300
2022-02-08,127.010002,128.080002,124.510002,127.589996,123.464027,3400300
2022-02-09,129.009995,130.699997,128.839996,129.050003,124.876831,2172900
2022-02-10,127.000000,128.649994,126.279999,126.720001,122.622154,2670100
2022-02-11,126.620003,127.459999,124.900002,125.930000,121.857719,3018400
2022-02-14,125.870003,126.629997,123.930000,124.839996,120.802948,2736200
2022-02-15,126.500000,127.070000,124.769997,125.220001,121.170677,2252100
2022-02-16,124.599998,126.570000,124.309998,125.720001,121.654503,2600300
2022-02-17,124.919998,125.070000,123.099998,123.250000,119.264374,3017100
2022-02-18,123.540001,124.190002,122.110001,122.870003,118.896675,2332100
2022-02-22,122.870003,123.860001,122.459999,123.120003,119.138580,2513500
2022-02-23,123.349998,126.120003,123.230003,123.690002,119.690155,4009000
2022-02-24,120.949997,128.070007,120.900002,127.919998,123.783356,5109200
2022-02-25,127.750000,128.809998,126.360001,128.470001,124.315590,3997400
2022-02-28,126.419998,128.770004,126.419998,128.119995,123.976883,3358100
2022-03-01,128.160004,129.100006,127.029999,127.750000,123.618858,3858300
2022-03-02,129.419998,130.690002,128.490005,129.949997,125.747734,2463300
2022-03-03,130.490005,132.720001,130.259995,131.399994,127.150818,2894100
2022-03-04,130.949997,135.860001,130.259995,135.699997,131.311768,4346200
2022-03-07,135.919998,137.229996,132.330002,132.389999,128.108795,5369400
2022-03-08,131.000000,131.169998,124.610001,124.669998,120.638458,5014700
2022-03-09,126.300003,129.389999,124.639999,128.779999,124.615532,3240800
2022-03-10,126.599998,129.679993,126.599998,129.559998,125.370308,3456100
2022-03-11,129.320007,129.919998,126.190002,126.360001,122.273811,2582100
2022-03-14,126.580002,128.429993,125.580002,126.220001,122.138336,2560700
2022-03-15,127.639999,130.610001,127.010002,130.259995,126.047691,2567200
2022-03-16,130.440002,131.839996,129.119995,131.619995,127.736343,2430200
2022-03-17,131.460007,133.610001,131.460007,133.600006,129.657959,2077500
2022-03-18,134.029999,137.399994,134.000000,136.899994,132.860550,3078300
2022-03-21,136.250000,137.210007,135.250000,135.970001,131.958008,1774800
2022-03-22,135.899994,136.910004,135.619995,136.399994,132.375290,1967000
2022-03-23,136.000000,136.039993,134.690002,134.899994,130.919586,2302200
2022-03-24,135.479996,135.649994,134.070007,135.089996,131.103973,2553300
2022-03-25,135.619995,135.880005,134.509995,135.259995,131.268921,2159900
2022-03-28,135.169998,135.600006,134.710007,135.179993,131.191315,1798200
2022-03-29,135.279999,135.490005,131.479996,132.649994,128.735962,2520300
2022-03-30,132.649994,134.690002,132.649994,134.350006,130.385788,1861900
2022-03-31,134.270004,136.039993,132.110001,132.119995,128.221588,3263500
2022-04-01,132.130005,133.050003,131.509995,132.699997,128.784470,1731200
2022-04-04,132.699997,132.929993,130.039993,130.619995,126.765854,1687700
2022-04-05,130.750000,133.520004,130.020004,130.529999,126.678520,2174800
2022-04-06,129.759995,130.419998,128.369995,129.130005,125.319817,3364700
2022-04-07,129.110001,130.380005,128.100006,129.880005,126.047707,3611800
2022-04-08,130.410004,132.300003,129.679993,129.889999,126.057381,5297000
2022-04-11,129.490005,129.789993,126.720001,128.100006,124.320213,4007700
2022-04-12,127.889999,129.270004,124.599998,124.830002,121.146706,2955100
2022-04-13,124.739998,126.099998,124.220001,125.830002,122.117188,2049400
2022-04-14,125.730003,126.529999,124.040001,124.529999,120.855553,4302000
2022-04-18,124.000000,124.589996,122.089996,122.620003,119.001900,2046900
2022-04-19,122.599998,123.050003,121.559998,122.930000,119.302773,4039900
2022-04-20,123.169998,125.370003,122.620003,123.849998,120.195610,2579100
2022-04-21,124.489998,124.489998,120.389999,120.709999,117.148254,2882400
2022-04-22,120.430000,120.970001,117.089996,117.250000,113.790352,3896100
2022-04-25,116.570000,116.919998,114.500000,116.849998,113.402168,5443600
2022-04-26,117.010002,117.139999,114.230003,114.330002,110.956512,3108400
2022-04-27,114.360001,117.349998,114.190002,116.699997,113.256584,3542500
2022-04-28,117.589996,119.599998,116.839996,119.250000,115.731339,2922600
2022-04-29,118.349998,119.470001,115.529999,115.809998,112.392845,3641700
2022-05-02,115.260002,116.680000,111.720001,113.480003,110.131592,2825500
2022-05-03,113.470001,115.230003,113.239998,114.480003,111.102097,3704100
2022-05-04,114.669998,114.800003,103.000000,109.860001,106.618416,8336400
2022-05-05,108.169998,108.489998,100.889999,101.629997,98.631264,9393400
2022-05-06,101.360001,101.480003,98.669998,99.809998,96.864944,7995700
2022-05-09,97.870003,102.010002,96.550003,96.989998,94.128159,5503600
2022-05-10,99.190002,100.070000,95.430000,96.470001,93.623497,5215700
2022-05-11,95.849998,97.739998,94.519997,94.550003,91.760162,4052700
